Date,Open,High,Low,Close,Volume,OpenInt
5/27/2005,338.1,342,338.1,342,8100,0
5/31/2005,342,342.9,340.5,341.75,7000,0
6/1/2005,342,342.25,337.5,338.5,21500,0
6/2/2005,339.25,340.99,337.6,339,26000,0
6/3/2005,339.75,339.95,336,338,30000,0
6/6/2005,337.5,338.5,335,336,18600,0
6/7/2005,336.5,339.2,336.5,338.25,19400,0
6/8/2005,339,339.5,337.75,338,28000,0
6/9/2005,338,339.5,335.75,337.51,9800,0
6/10/2005,337,339,337,337.11,7400,0
6/13/2005,337.5,338.25,337,337.84,36800,0
6/14/2005,337.85,338.4,337.19,338,12500,0
6/15/2005,338.25,338.6,337.88,338.47,14100,0
6/16/2005,338.5,339.1,337.51,338.8,12800,0
6/17/2005,338.8,339.14,338.01,338.74,9100,0
6/20/2005,339,339.5,333.05,335.5,15000,0
6/21/2005,335.5,338,331.7,332,29300,0
6/22/2005,333.7,335.93,333.5,334.95,16800,0
6/23/2005,334,335.4,333.5,334.95,8500,0
6/24/2005,334.95,337.5,333,333.5,38500,0
6/27/2005,332.5,335.51,332,334.9,6300,0
6/28/2005,334,336,334,335.27,13700,0
6/29/2005,335,335.5,334,334.5,14900,0
6/30/2005,335.5,339,334.54,339,65600,0
7/1/2005,337.5,340.5,337.27,340,16900,0
7/5/2005,341.8,347,341.2,345.6,36600,0
7/6/2005,345,345.2,340.01,340.37,22700,0
7/7/2005,341,342.99,338,339,11500,0
7/8/2005,340,341,336.5,337.1,11300,0
7/11/2005,337.9,337.9,333.28,335,7700,0
7/12/2005,336,336.5,331,332.25,24700,0
7/13/2005,332.25,332.3,326.26,327,30000,0
7/14/2005,328.8,328.8,322,324.5,30200,0
7/15/2005,322.8,325,321.06,323,33400,0
7/18/2005,323,323.5,319.5,320.47,18600,0
7/19/2005,319,322,319,320.63,14500,0
7/20/2005,321,322.5,319.6,322.5,16000,0
7/21/2005,323,324.9,322.23,324.83,7600,0
7/22/2005,325,328.5,323.5,327.57,14000,0
7/25/2005,328.25,336.5,327.7,335.05,34600,0
7/26/2005,333.2,337.2,332.44,335.9,24800,0
7/27/2005,336.5,339.5,334.5,335.98,15100,0
7/28/2005,336.48,337.75,334.5,335.32,6600,0
7/29/2005,335,336,334.01,336,5100,0
8/1/2005,336.5,339.5,336,337.6,17200,0
8/2/2005,337.6,341,336.5,341,9700,0
8/3/2005,340.1,340.1,333,333.49,35900,0
8/4/2005,333,335.5,329,334.03,14300,0
8/5/2005,333.1,333.1,324.31,325,32900,0
8/8/2005,324,325,320.5,320.6,17700,0
8/9/2005,317,319.98,316.81,318,24100,0
8/10/2005,318,318.5,313.5,313.6,26200,0
8/11/2005,314.5,318,314.5,316.5,27700,0
8/12/2005,316.5,319,315,317.99,11500,0
8/15/2005,318.5,318.5,310,312,28600,0
8/16/2005,312.75,313.5,311,313,22300,0
8/17/2005,312.5,314.2,312.5,313.24,12600,0
8/18/2005,314,314,307.5,307.69,22600,0
8/19/2005,307.8,314,307.8,312.5,19800,0
8/22/2005,313.5,324.18,313.5,323.1,31400,0
8/23/2005,324.5,326.99,322.88,323.5,20100,0
8/24/2005,323.5,326.5,323.5,326.3,19500,0
8/25/2005,325.25,329.95,324,329.95,34500,0
8/26/2005,329.63,329.63,325.55,326.04,16200,0
8/29/2005,323,327.5,323,327.43,10100,0
8/30/2005,328,328,323.83,327.5,5800,0
8/31/2005,326.6,326.6,319.97,324.75,24300,0
9/1/2005,321.5,326.4,321,326.4,15100,0
9/2/2005,326.45,326.5,324.75,325.45,7900,0
9/6/2005,324.45,326.5,322.57,322.7,21900,0
9/7/2005,321,325.9,321,324.81,8600,0
9/8/2005,325.5,325.5,323.5,323.74,6100,0
9/9/2005,323,324,323,323,5700,0
9/12/2005,322.5,323.76,320.02,323.45,8400,0
9/13/2005,323.5,330.74,322.5,326.5,23600,0
9/14/2005,327.25,327.25,325.5,326.3,5200,0
9/15/2005,326.96,328.5,325.02,327,12000,0
9/16/2005,327.5,328.12,325.67,327.87,3700,0
9/19/2005,328,330.5,325.1,330.45,6400,0
