Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,24809.34961,24864.18945,24741.69922,24824.00977,24824.00977,341130000
1/3/2018,24850.44922,24941.91992,24825.55078,24922.67969,24922.67969,456790000
1/4/2018,24964.85938,25105.96094,24963.26953,25075.13086,25075.13086,403280000
1/5/2018,25114.91992,25299.78906,25112.00977,25295.86914,25295.86914,358020000
1/8/2018,25308.40039,25311.99023,25235.41016,25283,25283,341390000
1/9/2018,25312.05078,25439.7793,25308.41016,25385.80078,25385.80078,333490000
1/10/2018,25348.13086,25404.91992,25256.99023,25369.13086,25369.13086,341470000
1/11/2018,25398.59961,25575.41992,25396.18945,25574.73047,25574.73047,346830000
1/12/2018,25638.39063,25810.42969,25633.08008,25803.18945,25803.18945,376390000
1/16/2018,25987.61914,26086.11914,25702.99023,25792.85938,25792.85938,606520000
1/17/2018,25910.7793,26130.44922,25865.01953,26115.65039,26115.65039,522720000
1/18/2018,26149.55078,26153.41992,25947.32031,26017.81055,26017.81055,492780000
1/19/2018,25987.34961,26071.7207,25942.83008,26071.7207,26071.7207,585000000
1/22/2018,26025.32031,26215.23047,25974.65039,26214.59961,26214.59961,431200000
1/23/2018,26214.86914,26246.18945,26143.90039,26210.81055,26210.81055,433490000
1/24/2018,26282.07031,26392.80078,26106.93945,26252.11914,26252.11914,518790000
1/25/2018,26313.06055,26458.25,26259.7207,26392.78906,26392.78906,401390000
1/26/2018,26466.74023,26616.71094,26425.34961,26616.71094,26616.71094,477780000
1/29/2018,26584.2793,26608.90039,26435.33984,26439.48047,26439.48047,421000000
1/30/2018,26198.44922,26256.99023,26028.41992,26076.89063,26076.89063,448330000
1/31/2018,26268.16992,26338.0293,26050.98047,26149.39063,26149.39063,479130000
2/1/2018,26083.03906,26306.69922,26014.43945,26186.71094,26186.71094,410620000
2/2/2018,26061.78906,26061.78906,25490.66016,25520.96094,25520.96094,522880000
2/5/2018,25337.86914,25520.5293,23923.88086,24345.75,24345.75,714450000
2/6/2018,24085.16992,24946.23047,23778.74023,24912.76953,24912.76953,823940000
2/7/2018,24892.86914,25293.96094,24785.43945,24893.34961,24893.34961,504620000
2/8/2018,24902.30078,24903.67969,23849.23047,23860.46094,23860.46094,657500000
2/9/2018,23992.66992,24382.14063,23360.28906,24190.90039,24190.90039,735030000
2/12/2018,24337.75977,24765.16016,24290.48047,24601.26953,24601.26953,496610000
2/13/2018,24540.33008,24705.7207,24421.0293,24640.44922,24640.44922,374410000
2/14/2018,24535.82031,24925.94922,24490.35938,24893.49023,24893.49023,431160000
2/15/2018,25047.82031,25203.94922,24809.41992,25200.36914,25200.36914,416780000
2/16/2018,25165.93945,25432.41992,25149.25977,25219.38086,25219.38086,406730000
2/20/2018,25124.91016,25179.00977,24884.18945,24964.75,24964.75,421510000
2/21/2018,24988.06055,25267.99023,24792.99023,24797.7793,24797.7793,456070000
2/22/2018,24855.41016,25156.7207,24854.83008,24962.48047,24962.48047,378900000
2/23/2018,25050.50977,25313.91016,25028.73047,25309.99023,25309.99023,335420000
2/26/2018,25403.34961,25732.80078,25398.56055,25709.26953,25709.26953,473360000
2/27/2018,25735.7793,25800.34961,25407.83008,25410.0293,25410.0293,438390000
2/28/2018,25485.15039,25576.15039,25022.41992,25029.19922,25029.19922,451870000
3/1/2018,25024.03906,25185.34961,24442.56055,24608.98047,24608.98047,506280000
3/2/2018,24394.91016,24592.46094,24217.75977,24538.06055,24538.06055,437130000
3/5/2018,24471.31055,24961,24387.15039,24874.75977,24874.75977,383910000
3/6/2018,24965.89063,24995.24023,24708.41016,24884.11914,24884.11914,331770000
3/7/2018,24758.15039,24849.67969,24535.11914,24801.35938,24801.35938,394070000
3/8/2018,24853.41016,24950.49023,24703.05078,24895.21094,24895.21094,327300000
3/9/2018,25004.89063,25336.33008,25004.89063,25335.74023,25335.74023,371570000
3/12/2018,25372.43945,25449.15039,25152.01953,25178.60938,25178.60938,362580000
3/13/2018,25257.75,25376.40039,24947.5,25007.0293,25007.0293,447880000
3/14/2018,25086.9707,25130.11914,24668.83008,24758.11914,24758.11914,356830000
3/15/2018,24837.28906,25053.86914,24753.28906,24873.66016,24873.66016,316310000
3/16/2018,24877.33984,25031,24857.08984,24946.50977,24946.50977,654240000
3/19/2018,24893.68945,24893.68945,24453.14063,24610.91016,24610.91016,377990000
3/20/2018,24650.64063,24803.60938,24650.64063,24727.26953,24727.26953,342510000
3/21/2018,24723.49023,24977.65039,24655.40039,24682.31055,24682.31055,343230000
3/22/2018,24526.00977,24526.00977,23938.74023,23957.89063,23957.89063,439280000
3/23/2018,23995.17969,24108.4707,23509.06055,23533.19922,23533.19922,482550000
3/26/2018,23825.74023,24232.30078,23741.2207,24202.59961,24202.59961,479540000
3/27/2018,24276.61914,24446.2207,23708.73047,23857.71094,23857.71094,524480000
3/28/2018,23883.08008,24092.4707,23728.66992,23848.41992,23848.41992,530040000
3/29/2018,23949.17969,24314.30078,23928.13086,24103.10938,24103.10938,463550000
4/2/2018,24076.59961,24123.80078,23344.51953,23644.18945,23644.18945,509820000
4/3/2018,23698.33008,24044.34961,23664.33008,24033.35938,24033.35938,394130000
4/4/2018,23654.15039,24308.96094,23523.16016,24264.30078,24264.30078,388540000
4/5/2018,24313.91016,24622.25977,24313.91016,24505.2207,24505.2207,347790000
4/6/2018,24373.59961,24434.40039,23738.19922,23932.75977,23932.75977,395990000
4/9/2018,24037.51953,24373.17969,23954.83008,23979.09961,23979.09961,380790000
4/10/2018,24198.94922,24511.34961,24198.94922,24408,24408,368590000
4/11/2018,24274.18945,24366.57031,24150.86914,24189.44922,24189.44922,286360000
4/12/2018,24302.82031,24592.11914,24302.82031,24483.05078,24483.05078,336130000
4/13/2018,24582.82031,24646.44922,24243.74023,24360.14063,24360.14063,331890000
4/16/2018,24483.15039,24675.35938,24480.19922,24573.03906,24573.03906,305070000
4/17/2018,24681.78906,24858.9707,24681.78906,24786.63086,24786.63086,342410000
4/18/2018,24820.84961,24832.53906,24721.08984,24748.07031,24748.07031,302030000
4/19/2018,24711.30078,24762.48047,24557.0293,24664.89063,24664.89063,381110000
4/20/2018,24657.39063,24678.07031,24375.03906,24462.93945,24462.93945,537770000
4/23/2018,24488.07031,24536.89063,24328.53906,24448.68945,24448.68945,351030000
4/24/2018,24579.93945,24579.93945,23828.73047,24024.13086,24024.13086,468180000
4/25/2018,24070.19922,24146.33984,23823.08008,24083.83008,24083.83008,437100000
4/26/2018,24128.7207,24402.46094,24128.7207,24322.33984,24322.33984,390360000
4/27/2018,24342.14063,24359.38086,24194.44922,24311.18945,24311.18945,392810000
4/30/2018,24410.41016,24498.23047,24163.08008,24163.15039,24163.15039,416650000
5/1/2018,24117.28906,24117.28906,23808.18945,24099.05078,24099.05078,380070000
5/2/2018,24097.63086,24185.51953,23886.30078,23924.98047,23924.98047,385350000
5/3/2018,23836.23047,23996.15039,23531.31055,23930.15039,23930.15039,389240000
5/4/2018,23865.2207,24333.34961,23778.86914,24262.50977,24262.50977,329480000
5/7/2018,24317.66016,24479.44922,24263.41992,24357.32031,24357.32031,307670000
5/8/2018,24341.34961,24412.33984,24198.33984,24360.21094,24360.21094,344940000
5/9/2018,24399.17969,24586.48047,24323.86914,24542.53906,24542.53906,361580000
5/10/2018,24591.66016,24794.99023,24575.91016,24739.5293,24739.5293,304210000
5/11/2018,24758.64063,24868.65039,24717.5,24831.16992,24831.16992,274150000
5/14/2018,24879.36914,24994.18945,24862.51953,24899.41016,24899.41016,282860000
5/15/2018,24809.55078,24809.55078,24629.39063,24706.41016,24706.41016,301900000
5/16/2018,24722.32031,24801.18945,24672.78906,24768.92969,24768.92969,280810000
5/17/2018,24752.40039,24839.49023,24639.40039,24713.98047,24713.98047,314650000
5/18/2018,24707.7207,24774.9707,24664.86914,24715.08984,24715.08984,269700000
5/21/2018,24883.06055,25086.49023,24883.06055,25013.28906,25013.28906,308920000
5/22/2018,25047.55078,25064.99023,24812.06055,24834.41016,24834.41016,288200000
5/23/2018,24757.71094,24889.46094,24667.11914,24886.81055,24886.81055,399610000
5/24/2018,24877.35938,24877.35938,24605.90039,24811.75977,24811.75977,347050000
5/25/2018,24781.28906,24824.2207,24687.81055,24753.08984,24753.08984,257210000
5/29/2018,24606.58984,24635.17969,24247.83984,24361.44922,24361.44922,395810000
5/30/2018,24467.83008,24714.48047,24459.08984,24667.7793,24667.7793,324870000
5/31/2018,24620.78906,24620.78906,24352.15039,24415.83984,24415.83984,429740000
6/1/2018,24542.08984,24673.59961,24542.08984,24635.21094,24635.21094,315710000
6/4/2018,24727.55078,24859.36914,24722.14063,24813.68945,24813.68945,340400000
6/5/2018,24820.11914,24838.7793,24710.82031,24799.98047,24799.98047,306340000
6/6/2018,24854.14063,25146.46094,24854.14063,25146.39063,25146.39063,316090000
6/7/2018,25192.14063,25326.08984,25164.48047,25241.41016,25241.41016,357680000
6/8/2018,25209.28906,25325.63086,25165.69922,25316.5293,25316.5293,317510000
6/11/2018,25336.66992,25402.83008,25290.19922,25322.31055,25322.31055,276740000
6/12/2018,25346.82031,25364.36914,25247.03906,25320.73047,25320.73047,265750000
6/13/2018,25328.65039,25362.07031,25191.41992,25201.19922,25201.19922,329700000
6/14/2018,25254.65039,25332.5,25138.59961,25175.31055,25175.31055,341170000
6/15/2018,25116.71094,25130.82031,24894.38086,25090.48047,25090.48047,659370000
6/18/2018,24944.2793,25003.09961,24825.76953,24987.4707,24987.4707,337070000
6/19/2018,24763.58984,24763.58984,24567.75,24700.21094,24700.21094,376380000
6/20/2018,24771.16992,24804.75977,24628.39063,24657.80078,24657.80078,359520000
6/21/2018,24639.21094,24639.21094,24406.63086,24461.69922,24461.69922,349570000
6/22/2018,24526.9707,24663.17969,24526.9707,24580.89063,24580.89063,473970000
6/25/2018,24463.73047,24463.73047,24084.39063,24252.80078,24252.80078,439130000
6/26/2018,24281.89063,24384.21094,24241.2207,24283.10938,24283.10938,301130000
6/27/2018,24303.10938,24569.01953,24115.82031,24117.58984,24117.58984,313790000
6/28/2018,24064.18945,24308.16016,23997.21094,24216.05078,24216.05078,305020000
6/29/2018,24323.92969,24509.51953,24269.71094,24271.41016,24271.41016,329070000
7/2/2018,24161.5293,24319.41992,24077.56055,24307.17969,24307.17969,244110000
7/3/2018,24359.39063,24444.88086,24150.84961,24174.82031,24174.82031,160960000
7/5/2018,24285.82031,24372.80078,24177.43945,24356.74023,24356.74023,237670000
7/6/2018,24352.4707,24520.28906,24281.4707,24456.48047,24456.48047,219450000
7/9/2018,24519.19922,24796.51953,24518.42969,24776.58984,24776.58984,240580000
